coords,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.681442', '37.6555')",6,14,92,218,1324,1517
"('55.719433', '37.656871')",6,14,206,284,1553,1723
"('55.674473', '37.667501')",4,7,72,212,1194,1491
"('55.6898201', '37.6558154')",9,7,122,238,1404,1610
"('55.719315', '37.66175')",8,17,188,292,1525,1718
"('55.702186', '37.684856')",2,8,118,279,1333,1684
"('55.697453', '37.633976')",10,10,151,307,1503,1708
"('55.714191', '37.670914')",7,15,149,312,1437,1726
"('55.694114', '37.665183')",3,14,115,248,1368,1669
"('55.6892303', '37.6536623')",9,11,121,247,1410,1604
"('55.720802', '37.661785')",9,15,197,293,1528,1721
"('55.6968553', '37.6359431')",9,9,147,304,1493,1710
"('55.717518', '37.659748')",6,16,186,281,1528,1717
"('55.70457', '37.670868')",6,13,138,280,1423,1715
"('55.72108', '37.664867')",7,20,178,304,1501,1736
"('55.698208', '37.647504')",3,18,139,271,1506,1659
"('55.70128', '37.642654')",8,10,156,287,1535,1691
"('55.698361', '37.635296')",10,10,150,314,1501,1715
"('55.703155', '37.672792')",5,12,138,271,1414,1694
"('55.713234', '37.67484')",6,9,148,317,1424,1702
"('55.688923', '37.6556035')",9,9,118,239,1400,1601
"('55.694322', '37.63676')",5,11,140,296,1497,1661
"('55.71148', '37.658733')",3,15,179,265,1517,1709
"('55.702495', '37.669881')",5,12,138,264,1425,1698
"('55.700613', '37.633634')",11,9,164,304,1550,1688
"('55.683194', '37.648277')",7,13,104,245,1359,1540
"('55.703814', '37.640138')",4,17,163,296,1561,1688
"('55.6988237', '37.6385601')",12,6,153,299,1515,1692
"('55.715748', '37.675415')",6,11,143,322,1411,1722
"('55.700704', '37.660961')",5,9,145,268,1471,1673
"('55.70073', '37.631586')",10,9,167,310,1552,1688
"('55.6903564', '37.655683')",9,7,121,239,1412,1608
"('55.6988708', '37.6385646')",12,6,153,299,1516,1691
"('55.703581', '37.661078')",5,12,143,280,1468,1705
"('55.6987549', '37.6362756')",12,6,156,306,1504,1710
"('55.707806', '37.67393')",6,13,122,322,1407,1717
"('55.695611', '37.662371')",2,19,113,263,1399,1671
"('55.682727', '37.584829')",8,24,157,304,1382,1729
"('55.686909', '37.593695')",10,19,156,300,1466,1684
"('55.693084', '37.59613')",6,15,152,317,1502,1678
"('55.678199', '37.596731')",11,18,145,281,1347,1710
"('55.690256', '37.5530337')",6,19,159,319,1387,1727
"('55.6811648', '37.5948427')",13,21,144,300,1396,1702
"('55.68701', '37.577678')",4,26,159,316,1387,1742
"('55.686306', '37.538036')",10,16,183,316,1300,1688
"('55.702926', '37.580337')",4,9,159,353,1519,1667
"('55.693497', '37.58077')",5,11,153,308,1485,1698
"('55.676164', '37.579259')",6,21,182,263,1292,1739
"('55.6940437', '37.6040148')",9,5,160,317,1527,1662
"('55.689162', '37.598286')",9,17,154,314,1492,1666
"('55.679276', '37.57349')",6,23,191,273,1321,1745
"('55.685675', '37.581379')",7,21,161,307,1399,1725
"('55.696078', '37.563152')",8,16,146,359,1432,1733
"('55.684093', '37.597145')",11,19,154,299,1446,1684
"('55.672763', '37.560529')",5,23,202,255,1212,1778
"('55.678458', '37.564248')",7,15,195,276,1275,1766
"('55.687193', '37.56388')",8,19,178,312,1367,1732
"('55.693145', '37.546525')",4,13,147,347,1410,1690
"('55.683798', '37.537883')",11,24,194,310,1265,1701
"('55.678113', '37.548511')",9,22,201,277,1246,1769
"('55.677346', '37.565955')",8,15,199,269,1274,1763
"('55.692475', '37.551726')",7,14,151,333,1415,1707
"('55.68665', '37.592644')",11,20,157,300,1462,1682
"('55.680103', '37.581963')",8,25,171,287,1337,1747
"('55.68499', '37.595215')",12,19,154,301,1454,1684
"('55.69109', '37.542958')",4,18,151,342,1369,1689
"('55.684772', '37.585404')",9,20,156,300,1410,1719
"('55.674477', '37.570007')",8,23,193,259,1245,1759
"('55.682026', '37.566539')",4,20,184,287,1333,1737
"('55.691526', '37.538134')",5,16,162,331,1372,1661
"('55.693597', '37.577678')",6,15,156,308,1484,1702
"('55.692191', '37.562991')",12,12,162,340,1406,1743
"('55.680625', '37.559218')",5,15,191,283,1290,1765
"('55.68955', '37.56528')",10,16,174,323,1389,1735
"('55.687497', '37.543327')",4,24,154,345,1314,1723
"('55.688072', '37.569305')",8,19,172,315,1392,1723
"('55.67733', '37.571552')",9,18,196,262,1292,1748
"('55.670585', '37.566243')",11,18,198,250,1199,1766
"('55.693394', '37.557502')",10,14,156,339,1428,1714
"('55.694205', '37.566503')",7,18,150,349,1425,1744
"('55.672011', '37.570878')",11,22,191,256,1225,1757
"('55.689625', '37.564034')",12,14,176,321,1391,1735
"('55.683036', '37.585655')",9,23,156,300,1395,1720
"('55.691379', '37.604906')",10,9,163,315,1511,1665
"('55.688086', '37.565955')",9,16,181,312,1386,1723
"('55.67855', '37.593623')",10,23,145,291,1339,1736
"('55.687066', '37.56697')",7,21,177,310,1374,1725
"('55.695296', '37.575648')",6,12,156,317,1490,1697
"('55.683676', '37.582215')",10,20,166,300,1381,1737
"('55.677783', '37.560493')",4,17,199,272,1269,1768
"('55.692506', '37.558454')",12,12,163,328,1427,1716
"('55.701861', '37.580679')",3,12,151,350,1519,1667
"('55.661327', '37.509342')",9,22,181,256,981,1570
"('55.650583', '37.563543')",3,13,148,281,915,1728
"('55.663639', '37.486679')",5,17,148,258,892,1515
"('55.692317', '37.531551')",5,15,168,327,1363,1636
"('55.645136', '37.51697')",5,17,134,224,859,1447
"('55.753169', '37.589796')",23,26,316,454,1596,1867
"('55.753129', '37.589096')",21,27,316,457,1588,1868
"('55.753286', '37.59657')",19,31,312,436,1615,1874
"('55.7531212', '37.5903682')",23,27,315,451,1599,1865
"('55.7270229', '37.561437')",5,11,158,442,1696,1542
"('55.727212', '37.583598')",7,18,206,405,1703,1611
"('55.748936', '37.595627')",26,29,295,442,1641,1835
"('55.747363', '37.594486')",24,31,283,458,1630,1838
"('55.741465', '37.540784')",12,15,196,411,1693,1508
"('55.720585', '37.567042')",8,12,135,426,1661,1553
"('55.749847', '37.579815')",6,46,281,458,1596,1818
"('55.7630905', '37.5930036')",22,37,321,429,1562,1930
"('55.760955', '37.611446')",13,22,343,423,1558,1984
"('55.744713', '37.5827')",14,42,262,452,1666,1739
"('55.742534', '37.545465')",16,14,219,398,1718,1517
"('55.765716', '37.59356')",25,43,311,435,1548,1943
"('55.725214', '37.578496')",9,24,179,404,1691,1598
"('55.744414', '37.594072')",16,37,265,461,1633,1816
"('55.7180332', '37.5737618')",10,10,133,414,1630,1617
"('55.751933', '37.590075')",26,25,315,449,1608,1859
"('55.756396', '37.596929')",11,46,314,428,1599,1900
"('55.75571', '37.600845')",9,42,322,417,1613,1896
"('55.753407', '37.600082')",9,39,309,436,1612,1889
"('55.74536', '37.643524')",6,12,247,456,1467,1915
"('55.758929', '37.645393')",12,31,223,483,1404,1944
"('55.761492', '37.592976')",21,39,318,437,1557,1933
"('55.764121', '37.615416')",10,31,318,428,1526,1996
"('55.75554', '37.594433')",15,42,306,443,1594,1888
"('55.755388', '37.60054')",8,43,318,422,1609,1899
"('55.7557561', '37.6033112')",9,33,322,436,1588,1928
"('55.759436', '37.605733')",14,33,331,423,1569,1963
"('55.812666', '37.640911')",13,27,93,317,1424,1369
"('55.801455', '37.63765')",4,16,150,392,1424,1563
"('55.812292', '37.653316')",10,16,105,280,1370,1379
"('55.814062', '37.623735')",10,14,122,299,1508,1328
"('55.816387', '37.656082')",8,11,97,260,1361,1318
"('55.8086143', '37.6472031')",13,22,114,313,1419,1418
"('55.817613', '37.661859')",3,11,96,252,1327,1314
"('55.8064017', '37.6481266')",9,23,116,329,1414,1447
"('55.81082', '37.626268')",8,26,112,345,1479,1408
"('55.809889', '37.624723')",6,27,118,356,1482,1423
"('55.810364', '37.642968')",18,17,112,306,1436,1391
"('55.8075152', '37.647491')",10,25,113,321,1415,1434
"('55.816328', '37.631379')",10,23,108,282,1459,1302
"('55.804612', '37.635503')",12,18,130,382,1441,1515
"('55.812752', '37.647549')",14,22,98,296,1387,1383
"('55.812337', '37.658571')",4,15,107,269,1369,1365
"('55.806282', '37.640947')",16,17,122,365,1422,1485
"('55.814117', '37.64788')",11,24,91,289,1370,1375
"('55.811331', '37.658086')",4,14,111,269,1374,1383
"('55.806499', '37.643911')",11,25,115,358,1401,1488
"('55.801536', '37.636715')",4,16,150,390,1432,1559
"('55.815556', '37.624374')",9,15,117,286,1500,1302
"('55.816045', '37.627247')",10,18,117,280,1482,1297
"('55.8145435', '37.6248368')",11,15,119,296,1501,1320
"('55.8158484', '37.6282409')",11,18,117,281,1477,1305
"('55.812216', '37.632368')",10,31,105,330,1452,1388
"('55.810602', '37.632098')",14,26,113,332,1472,1405
"('55.809904', '37.635081')",15,29,106,351,1440,1438
"('55.810688', '37.63676')",17,27,106,335,1443,1409
"('55.8039169', '37.6292881')",6,20,137,387,1454,1547
"('55.806545', '37.632107')",11,23,114,382,1433,1519
"('55.808948', '37.638')",18,23,108,350,1426,1450
"('55.632825', '37.744549')",6,7,99,112,520,1057
"('55.6339225', '37.7472722')",8,7,98,117,507,1060
"('55.633953', '37.761078')",9,9,88,118,450,1007
"('55.633537', '37.760845')",8,10,88,118,449,1006
"('55.637333', '37.77095')",6,4,77,121,432,967
"('55.632139', '37.755392')",6,13,87,117,465,1015
"('55.635157', '37.746624')",6,9,102,115,525,1055
"('55.636356', '37.747639')",6,8,102,119,533,1045
"('55.663918', '37.751772')",8,17,98,135,708,1214
"('55.69559', '37.604717')",7,8,159,321,1541,1654
"('55.625755', '37.722882')",3,8,113,102,527,1054
"('55.6201123', '37.7485915')",7,16,78,99,431,949
"('55.679991', '37.68447')",8,20,69,218,1135,1608
"('55.601203', '37.727553')",7,16,59,88,393,834
"('55.644008', '37.712542')",6,10,73,203,701,1237
"('55.619118', '37.72502')",5,7,96,112,458,1047
"('55.64665', '37.657637')",6,2,48,203,966,1390
"('55.652496', '37.745007')",4,13,107,123,671,1142
"('55.678047', '37.6773')",8,14,72,209,1167,1563
"('55.641854', '37.763827')",4,10,92,110,509,1005
"('55.639517', '37.755491')",2,17,97,123,528,1026
"('55.637714', '37.76347')",10,4,94,113,479,989
"('55.6413', '37.767582')",5,6,84,116,482,981
"('55.633658', '37.753928')",9,10,92,118,480,1028
"('55.629684', '37.745367')",5,9,95,109,503,1034
"('55.636824', '37.764995')",7,7,88,118,458,989
"('55.637592', '37.76461')",8,6,91,115,472,984
"('55.537801', '37.503971')",7,7,61,73,217,557
"('55.659414', '37.759569')",8,19,97,119,629,1150
"('55.645426', '37.733707')",4,11,97,161,638,1157
"('55.62235', '37.737614')",7,11,104,85,494,984
"('55.65431', '37.763728')",8,8,104,92,595,1056
"('55.618898', '37.719163')",3,11,89,113,470,1058
"('55.63636', '37.657097')",3,8,43,179,863,1263
"('55.635889', '37.76592')",7,7,85,117,449,989
"('55.634237', '37.748601')",8,7,98,116,505,1054
"('55.60817', '37.72758')",6,11,69,101,413,923
"('55.593726', '37.53826')",3,3,32,148,620,887
"('55.592744', '37.668713')",5,8,45,103,448,928
"('55.674631', '37.51344')",10,22,173,316,1070,1662
"('55.616676', '37.497063')",7,4,52,122,818,918
"('55.889816', '37.663322')",7,10,65,117,427,1112
"('55.77557', '37.498096')",5,13,215,331,1414,1599
"('55.720956', '37.811016')",3,9,100,157,676,1119
"('55.67145', '37.766468')",6,21,74,172,651,1240
"('55.632526', '37.67765')",5,4,54,171,731,1232
"('55.88001', '37.59277')",3,14,106,179,616,1284
"('55.876293', '37.580788')",3,8,124,168,704,1234
"('55.900829', '37.589051')",3,7,63,129,438,979
"('55.89701', '37.600998')",4,9,67,146,453,1056
"('55.897686', '37.582394')",3,13,68,144,463,1041
"('55.902858', '37.574543')",3,7,62,108,460,929
"('55.891182', '37.603416')",5,11,84,159,500,1150
"('55.892092', '37.621902')",2,7,88,129,478,1133
"('55.898866', '37.625424')",2,4,64,109,406,1055
"('55.899199', '37.605652')",3,7,53,141,430,1023
"('55.900547', '37.61407')",3,4,55,123,401,1021
"('55.90435', '37.58175')",3,6,57,109,438,906
"('55.90553', '37.57319')",4,2,62,98,448,872
"('55.890007', '37.605481')",5,8,91,156,510,1152
"('55.907279', '37.567455')",3,2,54,95,447,832
"('55.89237', '37.577418')",5,6,92,133,553,1083
"('55.881226', '37.583374')",3,11,114,163,640,1224
"('55.896626', '37.594494')",3,12,64,148,461,1055
"('55.887836', '37.615784')",4,3,101,153,522,1172
"('55.894844', '37.583355')",7,6,82,137,505,1053
"('55.892006', '37.613826')",3,12,83,154,484,1142
"('55.89137', '37.58552')",4,11,86,151,541,1115
"('55.890163', '37.584946')",2,14,89,153,553,1126
"('55.90627', '37.567528')",3,3,58,102,449,853
"('55.900433', '37.608994')",3,4,53,134,418,1007
"('55.892844', '37.577606')",5,6,92,131,550,1074
"('55.883244', '37.59594')",5,6,102,179,571,1258
"('55.895966', '37.570446')",3,6,86,116,529,1031
"('55.893808', '37.577376')",6,6,87,134,536,1069
"('55.894667', '37.590057')",4,13,66,167,467,1098
"('55.893713', '37.629421')",2,6,79,125,435,1140
"('55.886086', '37.592472')",4,10,92,171,551,1217
"('55.888966', '37.598743')",4,10,87,170,516,1176
"('55.904367', '37.589069')",3,5,55,123,415,908
"('55.843414', '37.566072')",5,7,83,288,1176,1253
"('55.679311', '37.44727')",5,4,79,253,803,1467
"('55.696161', '37.476761')",10,15,138,275,1127,1506
"('55.698874', '37.468312')",11,16,147,257,1113,1497
"('55.696123', '37.469817')",17,11,143,262,1074,1532
"('55.696037', '37.460421')",2,23,113,269,980,1573
"('55.694454', '37.470581')",12,15,127,276,1050,1549
"('55.698004', '37.474411')",14,14,141,274,1129,1504
"('55.693622', '37.469189')",10,16,123,280,1020,1569
"('55.6988776', '37.4683463')",11,16,147,257,1113,1497
"('55.692024', '37.467509')",10,16,119,284,968,1603
"('55.700104', '37.468034')",10,20,140,257,1119,1494
"('55.689918', '37.47024')",8,12,134,279,983,1586
"('55.692745', '37.453403')",2,3,114,261,907,1563
"('55.698622', '37.474517')",12,16,140,274,1135,1500
"('55.70595', '37.47959')",4,28,139,265,1231,1468
"('55.695611', '37.47351')",14,13,138,273,1093,1526
"('55.699393', '37.468928')",11,17,145,257,1120,1496
"('55.699981', '37.466479')",7,22,135,256,1111,1493
"('55.696423', '37.47377')",15,13,141,271,1107,1517
"('55.707295', '37.456822')",5,11,155,203,1138,1427
"('55.713496', '37.487469')",7,19,167,224,1422,1375
"('55.689035', '37.46997')",7,12,133,276,982,1574
"('55.69408', '37.477095')",10,17,143,268,1105,1512
"('55.702323', '37.463035')",6,19,144,239,1119,1464
"('55.704327', '37.780437')",7,22,92,176,749,1322
"('55.856982', '37.637569')",3,14,119,163,927,1296
"('55.873541', '37.705095')",3,9,46,78,515,1076
"('55.880295', '37.496174')",3,6,102,133,648,937
"('55.874567', '37.580077')",2,9,124,173,725,1238
"('55.81745', '37.800865')",4,13,100,78,478,1084
"('55.865541', '37.653909')",6,11,116,111,722,1317
"('55.714035', '37.765884')",3,17,117,157,921,1352
"('55.707491', '37.928632')",7,14,39,24,197,471
"('55.722036', '37.787498')",4,10,127,131,891,1173
"('55.81021', '37.723045')",11,13,108,193,1021,1394
"('55.783524', '37.467096')",17,29,119,262,1274,1425
"('55.728652', '37.68067')",14,19,165,297,1459,1687
"('55.70653', '37.786743')",10,16,101,170,728,1285
"('55.738388', '37.7049')",5,9,159,281,1416,1511
"('55.672306', '37.76203')",9,16,87,168,683,1259
"('55.807101', '37.799328')",5,21,109,92,537,1162
"('55.518265', '37.572701')",2,2,26,54,194,363
"('55.653126', '37.558723')",9,8,175,265,957,1713
"('55.500856', '37.522207')",2,3,12,39,141,270
"('55.697179', '37.512577')",6,10,177,301,1365,1529
"('55.65675', '37.563213')",12,14,180,262,990,1756
"('55.661217', '37.52978')",6,17,211,252,1038,1689
"('55.592378', '37.604232')",8,15,52,124,620,881
"('55.587453', '37.597163')",10,7,65,97,591,856
"('55.59687', '37.593704')",6,16,49,133,671,903
"('55.596457', '37.599822')",6,15,50,136,663,902
"('55.581726', '37.580842')",8,1,66,85,561,809
"('55.587056', '37.610538')",3,12,61,98,578,822
"('55.584645', '37.603487')",5,10,67,89,570,813
