author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307852470/,4,8,4,115.0,Пресненский,Рочдельская ,11/5,300000
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307852391/,3,9,4,135.0,Тверской,1-я Тверская-Ямская ,28,350000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307851872/,7,8,4,170.0,Хамовники,1-й Обыденский переулок,9/12,400000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307851870/,22,48,4,176.0,Раменки,Мосфильмовская ,70к1,300000
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307851314/,4,8,4,104.0,Таганский,Котельническая набережная,21,800000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307849780/,5,6,4,230.0,Арбат,переулок Романов,5,1000000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307848619/,3,5,4,165.0,Крылатское,Осенняя ,25К1,350000
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307846746/,8,9,4,196.0,Замоскворечье, Бахрушина,13,700000
Kalinka Group,real_estate_agent,https://www.cian.ru/rent/flat/307843902/,6,9,4,120.0,Якиманка,Погорельский переулок,6,250000
ID 22448,realtor,https://www.cian.ru/rent/flat/307841196/,5,7,4,90.0,Беговой,Беговая ,32,130000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307831249/,4,32,4,167.0,Таганский,Котельническая набережная,1/15кБ,390000
ILIAZ AND PARTNERS,real_estate_agent,https://www.cian.ru/rent/flat/307828970/,16,26,4,94.7,Хорошевский,Хорошевское шоссе,25Ак1,300000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307828962/,4,13,4,170.0,Таганский,Котельническая набережная,1/15кА,390000
Екатерина Глазкова,realtor,https://www.cian.ru/rent/flat/307828912/,12,17,4,100.0,Пресненский,Зоологическая ,4,250000
RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/307827786/,7,13,4,167.0,Таганский,Котельническая набережная,1/15кА,390000
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/rent/flat/307824315/,4,17,4,92.0,Ново-Переделкино,Лукинская ,8к1,120000
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307823691/,3,8,4,192.0,Арбат,Кривоарбатский переулок,16/22,450000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307823201/,4,21,4,170.0,Таганский,Котельническая набережная,1/15кБ,390000
ID 7181668,unknown,https://www.cian.ru/rent/flat/307822155/,7,11,4,120.0,Тверской,1-я Тверская-Ямская ,36С1,450000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307820482/,6,7,4,144.7,Академический, Кржижановского,23К3,230000
EXCLUSIVE CITY,real_estate_agent,https://www.cian.ru/rent/flat/307820051/,73,97,4,188.0,Пресненский,набережная Пресненская,12,750000
EXCLUSIVE CITY,real_estate_agent,https://www.cian.ru/rent/flat/307820048/,74,79,4,244.0,Пресненский,1-й Красногвардейский проезд,22с2,2500000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307818350/,3,14,4,63.0,Хорошевский,проезд Аэропорта,11А,280000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307817099/,4,5,4,110.0,Замоскворечье, Малая Ордынка,13С1А,210000
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/307816214/,8,14,4,119.0,Раменки,Ломоносовский проспект,29К2,400000
Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307814554/,6,8,4,104.0,Тверской,Тверская ,19,250000
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307811913/,2,6,4,107.0,Тверской,1-я Тверская-Ямская ,18,190000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307810785/,2,6,4,110.0,Тверской,1-я Тверская-Ямская ,18,190000
Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307810775/,15,15,4,98.0,Молжаниновский,Ленинградское шоссе,228к4,150000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307810121/,2,9,4,65.0,Ивановское, Молостовых,11К3,75000
