station,coords
Авиамоторная,"[55.751933, 37.717444]"
Автозаводская,"[55.706634, 37.657008]"
Академическая,"[55.687147, 37.5723]"
Александровский сад,"[55.752255, 37.608775]"
Алексеевская,"[55.807794, 37.638699]"
Алтуфьево,"[55.899034, 37.586473]"
Аннино,"[55.583477, 37.596999]"
Арбатская,"[55.752312, 37.60349]"
Аэропорт,"[55.800441, 37.530477]"
Бабушкинская,"[55.870641, 37.664341]"
Багратионовская,"[55.743544, 37.497042]"
Баррикадная,"[55.760793, 37.581242]"
Бауманская,"[55.772405, 37.67904]"
Беговая,"[55.773505, 37.545518]"
Белорусская,"[55.777439, 37.582107]"
Беляево,"[55.642357, 37.526115]"
Бибирево,"[55.883868, 37.603011]"
Библиотека им. Ленина,"[55.752123, 37.610388]"
Новоясеневская,"[55.601947, 37.553017]"
Боровицкая,"[55.750399, 37.60934]"
Ботанический сад,"[55.844597, 37.637811]"
Братиславская,"[55.658817, 37.748415]"
Бульвар Адмирала Ушакова,"[55.545207, 37.542329]"
Бульвар Дмитрия Донского,"[55.568201, 37.576856]"
Бунинская аллея,"[55.537977, 37.515899]"
Варшавская,"[55.653406, 37.619711]"
ВДНХ,"[55.819626, 37.640751]"
Владыкино,"[55.848236, 37.590451]"
Водный стадион,"[55.838978, 37.487515]"
Войковская,"[55.818923, 37.497791]"
Волгоградский проспект,"[55.725546, 37.685197]"
Волжская,"[55.690446, 37.754314]"
Воробьёвы горы,"[55.709169, 37.557293]"
Выхино,"[55.715983, 37.816788]"
Выставочная,"[55.750243, 37.542641]"
Динамо,"[55.789704, 37.558212]"
Дмитровская,"[55.808056, 37.581734]"
Добрынинская,"[55.728994, 37.622533]"
Домодедовская,"[55.610131, 37.717111]"
Дубровка,"[55.71807, 37.676259]"
Измайловская,"[55.787713, 37.779896]"
Калужская,"[55.656682, 37.540075]"
Кантемировская,"[55.636107, 37.656218]"
Каховская,"[55.65278, 37.597955]"
Каширская,"[55.655745, 37.649683]"
Киевская,"[55.743117, 37.564132]"
Китай-город,"[55.756498, 37.631326]"
Кожуховская,"[55.706156, 37.68544]"
Коломенская,"[55.677423, 37.663719]"
Комсомольская,"[55.774072, 37.654565]"
Коньково,"[55.631857, 37.519156]"
Красногвардейская,"[55.614075, 37.742697]"
Красносельская,"[55.780014, 37.666097]"
Красные ворота,"[55.768307, 37.6478]"
Крестьянская застава,"[55.732278, 37.665325]"
Кропоткинская,"[55.745297, 37.604217]"
Крылатское,"[55.756842, 37.408139]"
Кузнецкий мост,"[55.761498, 37.624423]"
Кузьминки,"[55.705493, 37.763295]"
Кунцевская,"[55.730634, 37.445123]"
Курская,"[55.758564, 37.659039]"
Кутузовская,"[55.740544, 37.5341]"
Ленинский проспект,"[55.70678, 37.58499]"
Лубянка,"[55.759889, 37.625336]"
Люблино,"[55.676596, 37.761639]"
Марксистская,"[55.740746, 37.65604]"
Марьино,"[55.649158, 37.743844]"
Маяковская,"[55.769808, 37.596192]"
Медведково,"[55.888103, 37.661562]"
Международная,"[55.748324, 37.533282]"
Менделеевская,"[55.781999, 37.599141]"
Молодёжная,"[55.741375, 37.415627]"
Нагатинская,"[55.682099, 37.620917]"
Нагорная,"[55.672962, 37.610397]"
Нахимовский проспект,"[55.662379, 37.605274]"
Новогиреево,"[55.752237, 37.814587]"
Новокузнецкая,"[55.742391, 37.62928]"
Новослободская,"[55.779606, 37.601252]"
Новые Черёмушки,"[55.670077, 37.554493]"
Октябрьская,"[55.729264, 37.611049]"
Октябрьское поле,"[55.793581, 37.493317]"
Орехово,"[55.61269, 37.695214]"
Отрадное,"[55.864273, 37.605066]"
Охотный ряд,"[55.757228, 37.615078]"
Павелецкая,"[55.729741, 37.638693]"
Парк Культуры,"[55.736163, 37.595027]"
Парк Победы,"[55.735679, 37.516865]"
Партизанская,"[55.788401, 37.74882]"
Первомайская,"[55.794376, 37.799364]"
Перово,"[55.75098, 37.78422]"
Петровско-Разумовская,"[55.836565, 37.575512]"
Печатники,"[55.692921, 37.728338]"
Пионерская,"[55.736027, 37.466728]"
Планерная,"[55.859676, 37.436808]"
Площадь Ильича,"[55.747115, 37.680726]"
Площадь Революции,"[55.756741, 37.62236]"
Полежаевская,"[55.777201, 37.517895]"
Полянка,"[55.736795, 37.618594]"
Пражская,"[55.610962, 37.602386]"
Преображенская площадь,"[55.796322, 37.713582]"
Пролетарская,"[55.731546, 37.666917]"
Проспект Вернадского,"[55.676549, 37.504584]"
Проспект Мира,"[55.779584, 37.633646]"
Профсоюзная,"[55.677671, 37.562595]"
Пушкинская,"[55.765607, 37.604356]"
Речной вокзал,"[55.854152, 37.476728]"
Рижская,"[55.792494, 37.636114]"
Римская,"[55.747027, 37.679996]"
Рязанский проспект,"[55.716139, 37.792694]"
Савёловская,"[55.794054, 37.587163]"
Свиблово,"[55.855558, 37.653379]"
Севастопольская,"[55.651451, 37.59809]"
Семёновская,"[55.783096, 37.719289]"
