"Category";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefName";"ChiefPosition";"ChiefGender";"ChiefPhone";"PublicPhone";"Fax";"Email";"CloseFlag";"CloseReason";"CloseDate";"ReopenDate";"BedSpace";"PaidServiceInfo";"WorkingHours";"ClarificationWorkingHours";"Specialization";"BeneficialDrugPrescription";"DrugStore";"AmbulanceStation";"AmbulanceStationPhone";"global_id";"DoctorsSpecialtiesListForSelfRecording";"Extrainfo";"AgeRestriction";"DrugStoreType";"geoData";"geodata_center";
"Категория";"Полное наименование";"Сокращённое наименование";"Информация о юридическом лице";"Адреса объекта";"ФИО руководителя";"Должность руководителя";"Пол руководителя";"Телефон руководителя";"Общий телефон";"Факс";"Адрес электронной почты";"Признак закрытия";"Причина закрытия";"Дата закрытия";"Дата повторного открытия";"Коечный фонд";"Информация о платных услугах";"График работы";"Уточнение графика работы";"Информация о специализации";"Дополнительное лекарственное обеспечение";"Наличие аптечного киоска";"Наличие станции неотложной помощи";"Перечень телефонов неотложной помощи";"global_id";"Перечень специальностей врачей (для самозаписи)";"Дополнительная информация";"Возрастные ограничения";"Тип аптеки";"geoData";"geodata_center";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 24 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 24 ДЗМ";"nested data";"nested data";"Тимохин Дмитрий Иванович";"директор";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"540";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"656106173";"";"";"взрослое";"";"{coordinates=[[37.579631946, 55.799073677], [37.578791421, 55.798371854]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 31 имени академика Г. М. Савельевой Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 31 им. академика Г. М. Савельевой ДЗМ";"nested data";"nested data";"Ефремова Наталья Михайловна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"432";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"656106914";"";"";"";"";"{coordinates=[[37.50190768, 55.669360449], [37.501027781, 55.669682013], [37.50153476, 55.669955837], [37.501990862, 55.669542537], [37.502442488, 55.670254434]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Московский многопрофильный научно-клинический центр имени С.П. Боткина Департамента здравоохранения города Москвы» филиал № 1 офтальмологический стационар";"ГБУЗ ММНКЦ им. С. П. Боткина филиал № 1 ДЗМ офтальмологический стационар";"nested data";"nested data";"Аржиматова Гульжияна Шевкетовна";"заведующий филиалом";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"170";"оказываются";"nested data";"";"офтальмология";"";"";"";"nested data";"656106956";"";"";"";"";"{coordinates=[[37.598667325, 55.767033816], [37.599317021, 55.766851008]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический Центр дерматовенерологии и косметологии Департамента здравоохранения города Москвы». Центральный отдел специализированной помощи";"ГБУЗ МНПЦДК ДЗМ. Центральный отдел специализированной помощи";"nested data";"nested data";"Жукова Ольга Валентиновна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"440";"отсутствуют";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"656107351";"";"";"";"";"{coordinates=[[37.598461778, 55.719566083]], type=MultiPoint}";"{coordinates=[37.598461778, 55.719566083], type=Point}";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 1 Департамента здравоохранения города Москвы»";"ГБУЗ ИКБ № 1 ДЗМ";"nested data";"nested data";"Тюрин Игорь Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"826";"оказывают";"nested data";"";"инфекционная больница";"";"";"";"nested data";"937011695";"";"";"";"";"{coordinates=[[37.45396541, 55.816515752], [37.458476041, 55.816931881], [37.4554699, 55.817172473], [37.456406745, 55.81662282], [37.454206076, 55.815641886], [37.457812246, 55.815729329]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. Е.О. Мухина Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. Е.О. Мухина ДЗМ";"nested data";"nested data";"Извеков Александр Александрович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"924 + 57 реанимационных + 24 дневного стационара";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"969566918";"";"Проезд: метро Новогиреево, последний вагон из центра, направо, 5 минут пешком.";"взрослое";"";"{coordinates=[[37.81444158, 55.756270959], [37.814071599, 55.755529806], [37.811531401, 55.756529465], [37.812510737, 55.755974667], [37.810416832, 55.756436637], [37.813381328, 55.756760667]], type=MultiPoint}";"{coordinates=[37.812510737, 55.755974667], type=Point}";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Кузнечики» Департамента здравоохранения города Москвы»";"ГБУЗ Поликлиника «Кузнечики» ДЗМ";"nested data";"nested data";"Карпович Александр Викторович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"90";"оказывают";"nested data";"третья суббота месяца 08:00-20:00";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1006074438";"";"";"взрослое";"";"{coordinates=[[37.182157147, 55.412811419]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. В.М. Буянова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. В.М. Буянова ДЗМ";"nested data";"nested data";"Саликов Александр Викторович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1000";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1006882819";"";"";"";"";"{coordinates=[[37.653755998, 55.618767086], [37.652842168, 55.6166096]], type=MultiPoint}";"{coordinates=[37.652842168, 55.6166096], type=Point}";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 2 Департамента здравоохранения города Москвы»";"ГБУЗ ИКБ № 2 ДЗМ";"nested data";"nested data";"Краснова Светлана Васильевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"";"инфекционная больница";"";"";"";"nested data";"1007353321";"";"";"";"";"{coordinates=[[37.73873639, 55.771259735], [37.739078569, 55.770504894], [37.739834182, 55.769383515], [37.741640099, 55.771271253], [37.739332053, 55.772755674], [37.740649644, 55.770430089]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 29 имени Н. Э. Баумана Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 29 им. Н. Э. Баумана ДЗМ";"nested data";"nested data";"Бражник Виктория Алексеевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1005";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010300898";"";"";"";"";"{coordinates=[[37.701062718, 55.766984077], [37.700667163, 55.766206562], [37.701856269, 55.768924058], [37.701835014, 55.766045814], [37.703384483, 55.768671666], [37.702186093, 55.767878352], [37.701612687, 55.767319355], [37.702567872, 55.769175277]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 52 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 52 ДЗМ";"nested data";"nested data";"Лысенко Марьяна Анатольевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1215";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010423446";"";"";"";"";"{coordinates=[[37.486966196, 55.803866976], [37.485276042, 55.803370664], [37.484087718, 55.802286538], [37.482214289, 55.800704652], [37.487801139, 55.803359492], [37.48358093, 55.802889036], [37.484589631, 55.80445741]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Московский многопрофильный научно-клинический центр имени С.П. Боткина Департамента здравоохранения города Москвы»";"ГБУЗ ММНКЦ им. С. П. Боткина ДЗМ";"nested data";"nested data";"Шабунин Алексей Васильевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1993";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010481782";"";"";"";"";"{coordinates=[[37.549501146, 55.779389126], [37.549760569, 55.780142622], [37.554536955, 55.781417411], [37.550930627, 55.780752233], [37.552181543, 55.781336081], [37.555404274, 55.780408008], [37.550807587, 55.782140871], [37.547536632, 55.78023844], [37.550951683, 55.779365743], [37.552885372, 55.782253298], [37.549503029, 55.781469508], [37.554670583, 55.780166006], [37.550515448, 55.778865533], [37.55024161, 55.780384328]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 67 им. Л. А. Ворохобова ДЗМ";"nested data";"nested data";"Сердюченко Алексей Геннадьевич";"директор";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"90";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010481784";"";"";"";"";"{coordinates=[[37.464485437, 55.773875516], [37.467393749, 55.771908405], [37.463992166, 55.77428885], [37.46724028, 55.770023655], [37.465392279, 55.773752248], [37.469516564, 55.771709627], [37.468249305, 55.770782589], [37.465491151, 55.774079812]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. М.Е. Жадкевича Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. М.Е. Жадкевича ДЗМ";"nested data";"nested data";"Талызин Павел Андреевич";"исполняющий обязанности главного врача";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"770";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010763616";"";"";"взрослое";"";"{coordinates=[[37.433941663, 55.722801227], [37.431374168, 55.722924016], [37.431222251, 55.721990639], [37.43309725, 55.722432791]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени В.П. Демихова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. В.П. Демихова ДЗМ";"nested data";"nested data";"Аракелов Сергей Эрнестович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1177";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010763618";"";"";"";"";"{coordinates=[[37.753828337, 55.693695511], [37.749849499, 55.693259091], [37.754596474, 55.692359869], [37.754580737, 55.691606244], [37.753164395, 55.692062172], [37.75273607, 55.693447885]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. И.В. Давыдовского Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. И.В. Давыдовского ДЗМ";"nested data";"nested data";"Сторожева Елена Александровна";"директор";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"622 + реанимация 24";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010763620";"";"";"взрослое";"";"{coordinates=[[37.649739509, 55.746024123], [37.648450394, 55.746678152], [37.652477314, 55.745908546], [37.650677335, 55.74627262]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. М.П. Кончаловского Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. М.П. Кончаловского ДЗМ";"nested data";"nested data";"Погонин Алексей Владимирович";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"Аптечный пункт на территории";"да";"";"nested data";"1010763623";"";"Аптечный пункт на территории";"взрослое";"";"{coordinates=[[37.232632034, 55.983887042], [37.235734399, 55.983316635], [37.230542412, 55.984625957], [37.234440746, 55.982920179], [37.233336511, 55.982973378]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени Д.Д. Плетнева Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. Д.Д. Плетнева ДЗМ";"nested data";"nested data";"Демидов Антон Владимирович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1030";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010782384";"";"";"";"";"{coordinates=[[37.810876399, 55.797880132], [37.808960742, 55.799098318], [37.807064554, 55.798294917], [37.806516399, 55.799009246], [37.808975473, 55.79825915], [37.810828668, 55.798376779], [37.808077576, 55.798143267], [37.809415453, 55.797660851]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение «Городская клиническая больница им. Д.Д. Плетнева Департамента здравоохранения города Москвы» Лечебно-диагностическое подразделение № 1";"ГБУЗ ГКБ имени Д.Д. Плетнева ДЗМ ЛДП № 1";"nested data";"nested data";"Жевелюк Александр Григорьевич";"заведующий филиалом";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"180";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010782385";"";"";"";"";"{coordinates=[[37.781129371, 55.801700231], [37.779932153, 55.801959687]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени С.С. Юдина Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. С.С. Юдина ДЗМ";"nested data";"nested data";"Галкин Всеволод Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"518";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"1010936627";"";"";"";"";"{coordinates=[[37.637081743, 55.662628114], [37.655110976, 55.672629178], [37.654726093, 55.673770251], [37.642130317, 55.662458081], [37.641033536, 55.66311402]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Туберкулёзная клиническая больница № 3 имени професора Г. А. Захарьина Департамента здравоохранения города Москвы»";"ГБУЗ ТКБ № 3 им. проф. Г. А. Захарьина ДЗМ";"nested data";"nested data";"Деменок Игорь Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"805";"отсутствуют";"nested data";"";"противотуберкулезная больница";"";"";"";"nested data";"1011167913";"";"";"";"";"{coordinates=[[37.380944368, 55.884790858], [37.380683845, 55.883622578], [37.382352389, 55.884568115], [37.382188801, 55.88458695], [37.375723744, 55.883972386], [37.380052126, 55.884188255], [37.383149872, 55.884068024], [37.384473339, 55.883608191]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница №1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПКБ № 1 им. Н. А. Алексеева ДЗМ";"nested data";"nested data";"Костюк Георгий Петрович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1802";"оказывают";"nested data";"";"психиатрия";"";"";"";"nested data";"1019277876";"";"";"";"";"{coordinates=[[37.607505642, 55.69656071], [37.599779222, 55.696791774], [37.607627395, 55.698833083], [37.598966227, 55.697587304], [37.600773269, 55.697813528], [37.598037924, 55.696909067], [37.607916281, 55.70012206], [37.606710873, 55.698773547], [37.604582451, 55.697146311], [37.603117277, 55.69710463], [37.604195318, 55.696428998], [37.602759386, 55.69871733], [37.603598375, 55.698946265], [37.605111155, 55.697247052]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москва «Психиатрическая клиническая больница № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы»";"ГБУЗ ПКБ № 4 им. П. Б. Ганнушкина ДЗМ";"nested data";"nested data";"Бурыгина Лариса Андреевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказывают";"nested data";"";"психиатрия";"";"";"";"nested data";"1026285978";"";"";"";"";"{coordinates=[[37.700881424, 55.798359773], [37.702304261, 55.797971756], [37.702550368, 55.797688028], [37.701355998, 55.79857651], [37.701206229, 55.799785695], [37.702072336, 55.800475097]], type=MultiPoint}";"{coordinates=[37.701355998, 55.79857651], type=Point}";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы» филиал Психиатрический стационар им. В.А. Гиляровского";"ГБУЗ ПКБ № 4 им. П. Б. Ганнушкина ДЗМ филиал Психиатрический стационар им. В.А. Гиляровского";"nested data";"nested data";"Белова Майя Юрьевна";"заместитель главного врача";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"1026287026";"";"";"";"";"{coordinates=[[37.699400201, 55.792499826], [37.701137527, 55.792017899], [37.70072936, 55.792869785], [37.70079267, 55.792126091], [37.700168588, 55.792969075], [37.699604049, 55.791840969]], type=MultiPoint}";"{coordinates=[37.70079267, 55.792126091], type=Point}";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Туберкулезная больница им. А.Е.Рабухина Департамента здравоохранения города Москвы»";"ГБУЗ ТБ им. А.Е.Рабухина ДЗМ";"nested data";"nested data";"Шеремета Александр Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"1028762963";"";"";"";"";"{coordinates=[[36.947403556, 56.187720091], [36.947264658, 56.186591655], [36.949656834, 56.188102487], [36.946682822, 56.184371455]], type=MultiPoint}";"";
