"global_id";"Code";"Category";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefName";"ChiefPosition";"ChiefGender";"ChiefPhone";"PublicPhone";"Fax";"Email";"CloseFlag";"CloseReason";"CloseDate";"ReopenDate";"BedSpace";"PaidServiceInfo";"WorkingHours";"ClarificationWorkingHours";"Specialization";"BeneficialDrugPrescription";"DrugStore";"AmbulanceStation";"AmbulanceStationPhone";"DoctorsSpecialtiesList";"DoctorSpecialitesList";"Extrainfo";"AgeRestriction";"DrugStoreType";"EntryState";"geoData";"geodata_center";
"global_id";"Код";"Категория";"Полное наименование";"Сокращённое наименование";"Информация о юридическом лице";"Адреса объекта";"ФИО руководителя";"Должность руководителя";"Пол руководителя";"Телефон руководителя";"Общий телефон";"Факс";"Адрес электронной почты";"Признак закрытия";"Причина закрытия";"Дата закрытия";"Дата повторного открытия";"Коечный фонд";"Информация о платных услугах";"График работы";"Уточнение графика работы";"Информация о специализации";"Дополнительное лекарственное обеспечение";"Наличие аптечного киоска";"Наличие станции неотложной помощи";"Перечень телефонов неотложной помощи";"Перечень специальностей врачей (для самозаписи)";"Перечень специальностей врачей (старый)";"Дополнительная информация";"Возрастные ограничения";"Тип аптеки";"Состояние записи";"geoData";"geodata_center";
"656107495";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы». Детское отделение";"ГБУЗ ГКБ № 67 им. Л. А. Ворохобова ДЗМ. Детское отделение";"nested data";"nested data";"Шкода Андрей Сергеевич";"президент";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"90";"отсутствуют";"nested data";"";"Педиатрическая кардиология";"";"";"";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.466007827, 55.770872497]], type=MultiPoint}";"";
"886397925";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9 имени Г. Н. Сперанского Департамента здравоохранения города Москвы»";"ГБУЗ ДГКБ № 9 им. Г. Н. Сперанского ДЗМ";"nested data";"nested data";"Афуков Иван Игоревич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"Многопрофильное детское медицинское учреждение";"";"";"";"nested data";"";"nested data";"";"детское";"";"";"{coordinates=[[37.539189284, 55.75524553], [37.542629286, 55.755569168], [37.539547961, 55.754165994], [37.541614012, 55.755919426], [37.540256358, 55.75463748], [37.541316166, 55.75517819]], type=MultiPoint}";"";
"886397930";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9 имени Г. Н. Сперанского филиал № 2 Департамента здравоохранения города Москвы»";"ГБУЗ ДГКБ № 9 им. Г. Н. Сперанского Филиал № 2 ДЗМ";"nested data";"nested data";"Кащенко Ольга Александровна";"заведующий филиалом";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"";"Детская инфекционная больница";"";"";"";"nested data";"";"nested data";"";"детское";"";"";"{coordinates=[[37.642620769, 55.859075711], [37.64245025, 55.859840176]], type=MultiPoint}";"";
"969486022";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы». Отделение дневной стационар № 2";"ГБУЗ НПЦ ДП ДЗМ. Отделение дневной стационар № 2.";"nested data";"nested data";"Батышева Татьяна Тимофеевна";"директор";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"";"Психоневрологическая помощь детям 1-го года жизни";"";"";"";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.706040992, 55.758438659], [37.705494064, 55.758595202]], type=MultiPoint}";"";
"1006889924";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения «Психиатрическая клиническая больница № 13 Департамента здравоохранения города Москвы";"ГБУЗ ПКБ № 13 ДЗМ";"nested data";"nested data";"Тер-Исраелян Алексей Юрьевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"";"";"";"";"";"оказывают";"nested data";"";"";"";"";"";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.772298853, 55.682677142], [37.768364068, 55.682575019], [37.770752867, 55.683005176], [37.766269858, 55.682415454], [37.767310455, 55.68251122], [37.767663598, 55.682761802], [37.76518876, 55.682372938], [37.765361757, 55.68268961]], type=MultiPoint}";"";
"1007245815";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница имени З. А. Башляевой Департамента здравоохранения города Москвы»";"ГБУЗ ДГКБ им. З. А. Башляевой ДЗМ";"nested data";"nested data";"Османов Исмаил Магомедтагирович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"971";"оказываются";"nested data";"";"Многопрофильное детское медицинское учреждение";"";"";"";"nested data";"";"nested data";"";"детское";"";"";"{coordinates=[[37.404810751, 55.852428161], [37.403596864, 55.853719009], [37.40606458, 55.85463945], [37.405571131, 55.85481595], [37.405673268, 55.853700784]], type=MultiPoint}";"";
"1010763615";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. М.П. Кончаловского Департамента здравоохранения города Москвы». Детское отделение";"ГБУЗ ГКБ им. М.П. Кончаловского ДЗМ. Детское отделение";"nested data";"nested data";"Погонин Алексей Владимирович";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1242";"отсутствуют";"nested data";"";"Многопрофильный стационар";"";"";"";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.230899796, 55.984075506]], type=MultiPoint}";"";
"1019277880";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Психиатрическая больница № 14 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПБ № 14 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"nested data";"nested data";"Чумаков Дмитрий Вячеславович";"заведующий филиалом";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.649902716, 55.629616044], [37.650143855, 55.631021961], [37.650506008, 55.632277347], [37.64873059, 55.629676743], [37.649445959, 55.632458626], [37.650095835, 55.6325244], [37.649189248, 55.629864908]], type=MultiPoint}";"";
"1029331770";"";"Больница детская и специализированная";"Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница Святого Владимира Департамента здравоохранения города Москвы» Филиал";"ГБУЗ ДГКБ св. Владимира ДЗМ Филиал";"nested data";"nested data";"Мальченко Олег Анатольевич";"заместитель главного врача";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"";"nested data";"";"детское";"";"";"{coordinates=[[37.501780405, 56.235498935]], type=MultiPoint}";"{coordinates=[37.501780405, 56.235498935], type=Point}";
